Ticker,Quarter & Year,Trading Volume 7 Day Average Prior to Call Date,Gross Margin ,Revenue (E8),Release Date,Stock Price on Release Date ,Call Date,Stock Price on Call Date,Stock Price Delta Between Dates,EPS Basic & Diluted,Revenue Delta,Gross Margin Delta,Trading Volume Delta,Beta Value at Call Date,"Rating Score (avg. - ROE, DCF, ROA)",Market Cap,Common Shares Outstanding at Call Date,VX,Polarity Mean,Postive/Negative + Neutral,Strong Polarity Count (>=0.8),Subjectivity ,Weak Polarity Count (>=-0.2)
XOM,2016 Q3,"16,913,500",0.2039,586.77,9/30/2016,87.29,10/28/2016,87.28,-0.0001,0.63,1.17,-0.0200,0.5300,0.8623,3,3.65E+11,4178000000,sentiment,0.07,0.6000,0,0.4160,5
WWW,2016 Q3,"3,289,588",0.3834,5.035,9/30/2016,23.02,10/18/2016,21.26,-0.0765,0.27,-0.16,0.0000,0.1700,0.6838,3.67,2231607000,104967403.6,sentiment,0.11825,0.9550,1,0.4110,6
TSLA,2016 Q4 ,"39,045,096",0.2284,22.84631,12/31/2016,42.73,2/23/2017,51.19,0.1980,-2.065,-0.01,-0.0200,0.4200,1.269,3.33,7.18E+11,14034398515,sentiment,0.108847,0.7180,0,0.5120,4
CAKE,2016 Q4 ,"1,076,291",0.1977,4.68428,12/31/2016,59.61,2/23/2017,61.18,0.0263,2.83,-0.33,0.0000,-0.0800,0.2104,3,3010056000,49200000,sentiment,0.0788,0.5470,0,0.3680,3
XOM,2016 Q4 ,"13,111,000",0.2137,1086.63,12/31/2016,90.27,1/31/2017,83.89,-0.0707,-2.19,0.85,0.0500,-0.2200,0.8839,4,3.77E+11,4490943378,sentiment,0.0835,0.6070,0,0.3980,12
WWW,2016 Q4 ,"1,254,892",0.3846,8.298,12/31/2016,21.95,2/22/2017,25.25,0.1503,0.21,0.65,0.0000,-0.6200,0.7083,3.67,2072080000,82062574.26,sentiment,0.13387,0.9780,3,0.4370,6
TSLA,2017 Q1 ,"34,138,672",0.2357,26.9627,3/31/2017,55.66,5/4/2017,59.02,0.0604,-2.04,0.18,0.0300,-0.1300,1.071,3.33,7.71E+11,13064060657,sentiment,0.12176,0.9210,0,0.0510,4
CAKE,2017 Q1 ,"1,414,567",0.1956,5.63426,3/31/2017,63.36,5/4/2017,62.59,-0.0122,0.71,0.20,-0.0100,0.3100,0.2858,3,3079428000,49200000,sentiment,0.1089,0.9860,1,0.4190,6
XOM,2017 Q1 ,"10,323,000",0.2233,632.87,3/31/2017,82.01,4/28/2017,81.65,-0.0044,0.95,0.42,0.0400,-0.2100,0.8923,3,3.46E+11,4241619473,sentiment,0.0816,0.6990,1,0.3860,4
WWW,2017 Q1 ,"3,561,761",0.3850,5.913,3/31/2017,24.97,5/10/2017,26.04,0.0429,0.17,-0.29,0.0000,1.8400,0.877,3.33,2397120000,92055299.54,sentiment,0.1262,0.9560,0,0.4320,4
